network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,5.0000 ± 0.0000 (5),5.8000 ± 0.4472 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,18.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.4000 ± 0.5477 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Diaz-Perez_2018,8.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Ding_2023,0.4000 ± 0.5477 (5),0.2000 ± 0.4472 (5),N/A ± 0 (0),1.2000 ± 1.0954 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,6.4000 ± 0.5477 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Koenen_2020,0.2000 ± 0.4472 (5),0.8000 ± 0.4472 (5),1.0000 ± 0.0000 (3),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,3.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liang_2019,24.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Liu_2023,5.0000 ± 0.0000 (5),5.5000 ± 0.5774 (4),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Marcussen_2011,4.8000 ± 0.4472 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2012,9.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,13.4000 ± 0.5477 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (1)
Morales-Briones_2021,N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),2.5000 ± 0.7071 (2)
Popp_2005,0.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,3.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,16.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.2000 ± 0.4472 (5)
Shahrestani_2015,1.4000 ± 0.5477 (5),2.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,25.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.0000 ± 0.0000 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,7.4000 ± 0.5477 (5),7.6000 ± 0.5477 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.2000 ± 0.4472 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (1)
