network,alloppnet,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.6,5.0,5.8,,0.0,0.0,0.0
Brysting_2007,,18.0,,,0.4,0.0,0.0
Diaz-Perez_2018,,8.0,,,0.0,0.0,0.0
Ding_2023,6.2,0.4,0.2,,1.2,0.0,0.0
Hori_2014,,6.4,,,0.0,0.0,0.0
Koenen_2020,4.0,0.2,0.8,1.0,0.0,0.0,0.0
Lawrence_2016,,3.0,,,0.0,0.0,0.0
Liang_2019,,24.0,,,0.0,0.0,0.0
Liu_2023,2.0,5.0,5.5,,0.0,0.0,0.0
Marcussen_2011,,4.8,,,0.0,0.0,0.0
Marcussen_2012,,9.0,,,,,
Marcussen_2015,,13.4,,,,,0.0
Morales-Briones_2021,,,,,,,2.5
Popp_2005,,0.0,,0.0,0.0,0.0,0.0
Ren_2024,,3.0,,,0.0,0.0,0.0
Sessa_2012b,,16.0,,,0.0,0.0,0.2
Shahrestani_2015,0.2,1.4,2.0,0.0,0.0,0.0,0.0
Soza_2014,,25.0,,,,,
Wisecaver_2023,0.2,0.0,,0.0,0.0,0.0,0.0
Wu_2015,0.2,7.4,7.6,,0.0,0.0,0.0
Zhao_2021,10.4,0.2,,,,0.0,0.0
