network,grampa,mpsugar,padre,polyphest_p50,polyphest_p70,polyphest_p90
Bendiksby_2011,0.8583 ± 0.0559 (5),0.9917 ± 0.0186 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Brysting_2007,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0648 ± 0.0592 (5),0.0000 ± 0.0000 (5),0.0169 ± 0.0233 (5)
Diaz-Perez_2018,0.9444 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Ding_2023,0.4000 ± 0.5477 (5),0.2000 ± 0.4472 (5),N/A ± 0 (0),0.6000 ± 0.5477 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Hori_2014,0.9802 ± 0.0181 (5),N/A ± 0 (0),N/A ± 0 (0),0.0254 ± 0.0365 (5),0.0186 ± 0.0415 (5),0.2202 ± 0.0254 (5)
Koenen_2020,0.2000 ± 0.4472 (5),0.8000 ± 0.4472 (5),0.7604 ± 0.0722 (3),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Lawrence_2016,0.9000 ± 0.0559 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.1133 ± 0.1586 (5)
Liang_2019,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0395 ± 0.0445 (5),0.1449 ± 0.0453 (5),0.0569 ± 0.0370 (5)
Liu_2023,0.8333 ± 0.0000 (5),1.0000 ± 0.0000 (4),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.1361 ± 0.1747 (5),0.0026 ± 0.0058 (5)
Marcussen_2011,0.9780 ± 0.0492 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2012,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Marcussen_2015,0.9821 ± 0.0179 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.2283 ± 0.0000 (1)
Morales-Briones_2021,N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.1629 ± 0.0053 (2)
Popp_2005,0.3718 ± 0.0725 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Ren_2024,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Sessa_2012b,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),0.0448 ± 0.0411 (5),0.0520 ± 0.0767 (5),0.1279 ± 0.0498 (5)
Shahrestani_2015,0.8300 ± 0.1565 (5),1.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Soza_2014,1.0000 ± 0.0000 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0)
Wisecaver_2023,0.2433 ± 0.2420 (5),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Wu_2015,0.9743 ± 0.0294 (5),0.9896 ± 0.0147 (5),N/A ± 0 (0),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5),0.0000 ± 0.0000 (5)
Zhao_2021,0.4125 ± 0.4224 (5),N/A ± 0 (0),N/A ± 0 (0),N/A ± 0 (0),0.0000 ± 0.0000 (1),0.0000 ± 0.0000 (1)
